=== BAHUNG LMS ALL ROWS ===
Row 2 | Code: LMS-001 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Quản lý danh mục khóa học | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 32 | Code: LMS-031 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Quản lý loại chứng chỉ khác ngoài ATTP | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Not Started | FE: Not Started | All: Not Started | Test: 
Row 33 | Code: LMS-032 | Domain: ATTP & chứng chỉ | Sub: ATTP | Name: Gắn chứng chỉ vào hồ sơ học viên | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 34 | Code: LMS-033 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Tạo lộ trình onboarding cho nhân viên cửa hàng | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 35 | Code: LMS-034 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Tạo lộ trình onboarding cho nhân viên sản xuất | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 36 | Code: LMS-035 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Tạo lộ trình onboarding cho quản lý cửa hàng | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 37 | Code: LMS-036 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Tạo lộ trình onboarding cho nhân viên tăng cường | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 38 | Code: LMS-037 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Tạo lộ trình onboarding cho học việc | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 39 | Code: LMS-038 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Tự gán lộ trình khi nhân sự vào status Học việc | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 40 | Code: LMS-039 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Tự gán lộ trình khi nhận việc chính thức | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 41 | Code: LMS-040 | Domain: Onboarding học tập | Sub: Lộ trình | Name: Theo dõi % hoàn thành lộ trình onboarding | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
